id,fecha,usuario,texto,tema,sentimiento,likes,reposts
5017,2023-06-08,user_48917,Los algoritmos me muestran versiones de mí que ni siquiera reconozco. ¿Me estoy construyendo yo o me construye la IA?,Generación Z y crisis de sentido,positivo,700,4854
5018,2023-12-04,user_23156,"Los planes a futuro son obsoletos. Vivimos de trend en trend, de momento en momento.",Cultura de lo efímero y proyectos de vida,neutral,8922,4018
5019,2023-12-02,user_44306,Mi teléfono sabe más de mí que mi familia. Es el perfecto dispositivo de vigilancia voluntaria.,IA y pérdida de autonomía humana,negativo,7076,31
5020,2024-03-16,user_53797,No puedo pensar en mi futuro a 10 años. Apenas puedo planear la próxima semana.,Cultura de lo efímero y proyectos de vida,negativo,6720,1948
5021,2024-01-03,user_39225,La incertidumbre constante se volvió nuestra única certeza. Es agotador vivir así.,Generación Z y crisis de sentido,positivo,8053,4524
5022,2024-04-13,user_14044,"¿Existe algo más allá de las métricas? Mi valor parece medirse en followers, no en lo que realmente soy.",Generación Z y crisis de sentido,negativo,4646,2176
5023,2022-04-25,user_49812,La cultura de lo inmediato nos robó la paciencia. Queremos resultados sin proceso.,Cultura de lo efímero y proyectos de vida,neutral,5084,538
5024,2022-01-13,user_60331,El biopoder de Foucault era limitado. El poder algorítmico es total e invisible.,IA y pérdida de autonomía humana,negativo,316,4412
5025,2022-04-14,user_49922,Mi 'yo' es un proyecto en constante edición. Nada parece definitivo ni duradero.,Generación Z y crisis de sentido,positivo,19651,4959
5026,2022-12-10,user_11550,Cambio mi bio cada mes. No sé si es adaptabilidad o falta de una identidad sólida.,Generación Z y crisis de sentido,negativo,12926,1326
5027,2023-07-15,user_78433,"Cada click, cada búsqueda, cada like es registrado. Somos perfiles permanentemente monitoreados.",IA y pérdida de autonomía humana,neutral,14166,355
5028,2022-09-08,user_10173,"¿Existe algo más allá de las métricas? Mi valor parece medirse en followers, no en lo que realmente soy.",Generación Z y crisis de sentido,neutral,18344,2552
5029,2022-01-24,user_59781,"Foucault hablaría de biopoder algorítmico. Nos vigilan, analizan y dirigen sin que lo notemos.",IA y pérdida de autonomía humana,negativo,16167,4875
5030,2024-06-01,user_10704,"La inmediatez destruye la profundidad. Todo es superficial, rápido, desechable.",Cultura de lo efímero y proyectos de vida,negativo,18702,2349
5031,2023-09-24,user_92982,"La privacidad es un concepto del pasado. Ahora todo es datos, perfiles, predicciones.",IA y pérdida de autonomía humana,negativo,15184,1897
5032,2024-04-01,user_89910,¿Para qué trabajar tanto si al final todo pierde sentido? La presión constante me agota y no veo un propósito real.,Generación Z y crisis de sentido,positivo,17328,37
5033,2023-12-14,user_55576,Lyotard predijo el fin de los metarrelatos. Yo lo confirmo: no creo en ningún proyecto colectivo grande.,Generación Z y crisis de sentido,neutral,15770,2358
5034,2023-01-01,user_17168,Me preocupa que mis opiniones sean solo ecos de mi burbuja algorítmica.,IA y pérdida de autonomía humana,neutral,12761,1813
5035,2023-12-27,user_31913,La ansiedad por el futuro me roba el presente. Pero no planear también genera ansiedad. Es un círculo vicioso.,Generación Z y crisis de sentido,positivo,5341,1028
5036,2024-04-30,user_47676,La sensación de que nada tiene sentido permanente es constante. ¿Qué queda cuando las likes desaparecen?,Generación Z y crisis de sentido,negativo,11807,3141
5037,2024-05-16,user_82383,"No puedo ser productivo todo el tiempo, pero la presión social me hace sentir que debo serlo.",Cultura de lo efímero y proyectos de vida,negativo,10914,860
5038,2022-07-20,user_53619,"Mi vida se volvió una curaduría constante. Filtro, edito, publico. ¿Dónde quedó lo real?",Generación Z y crisis de sentido,positivo,18918,1740
5039,2023-05-17,user_98267,Las burbujas de filtro destruyen el pensamiento crítico. Solo veo lo que confirma mis creencias.,IA y pérdida de autonomía humana,negativo,9538,503
5040,2024-06-09,user_56329,La ironía de nuestra era: nunca fue tan fácil conectar y nunca fue tan difícil sentirnos cerca.,Cultura de lo efímero y proyectos de vida,negativo,3934,2694
5041,2022-06-26,user_98463,Estoy exhausto de intentar ser productivo 24/7. El burnout es el precio de esta sociedad del rendimiento.,Cultura de lo efímero y proyectos de vida,positivo,18288,4434
5042,2023-06-03,user_88187,"Pasamos horas en redes sociales buscando conexión humana, pero solo encontramos perfiles, no personas.",Cultura de lo efímero y proyectos de vida,negativo,6299,2627
5043,2022-07-12,user_5075,Me siento más cerca de extraños en Twitter que de personas reales. Algo está mal.,Cultura de lo efímero y proyectos de vida,positivo,14249,4729
5044,2023-09-13,user_56349,Las burbujas de filtro me encierran en mi propia cámara de eco. Ya no veo perspectivas diferentes.,IA y pérdida de autonomía humana,negativo,6056,3867
5045,2023-12-29,user_87776,Foucault describió el panóptico. Hoy es digital: nos vigilan constantemente sin que lo notemos.,IA y pérdida de autonomía humana,positivo,19331,3851
5046,2022-11-19,user_7925,"Pasamos horas en redes sociales buscando conexión humana, pero solo encontramos perfiles, no personas.",Cultura de lo efímero y proyectos de vida,negativo,7786,3703
5047,2022-11-14,user_74463,¿Soy auténtico o solo imito modelos que vi en mi feed? La línea es cada vez más difusa.,Generación Z y crisis de sentido,negativo,5961,4544
5048,2023-05-20,user_72708,¿A quién le importa la privacidad cuando podemos tener servicios gratis? Ese es el trato faustiano digital.,IA y pérdida de autonomía humana,negativo,6101,3288
5049,2023-06-15,user_79296,¿Soy auténtico o solo interpreto la versión de mí que genera más likes?,Generación Z y crisis de sentido,neutral,17143,1024
5050,2023-05-23,user_13167,"Foucault hablaría de biopoder algorítmico. Nos vigilan, analizan y dirigen sin que lo notemos.",IA y pérdida de autonomía humana,neutral,8852,3872
5051,2022-02-28,user_68835,No tengo certezas sobre quién soy. Solo tengo versiones temporales que duran hasta el siguiente trend.,Generación Z y crisis de sentido,neutral,14088,1104
5052,2022-10-22,user_49557,Foucault describió el panóptico. Hoy es digital: nos vigilan constantemente sin que lo notemos.,IA y pérdida de autonomía humana,positivo,457,3937
5053,2023-07-13,user_19949,La identidad digital es performativa. Actuamos roles según lo que el algoritmo recompensa con visibilidad.,Generación Z y crisis de sentido,neutral,963,1420
5054,2022-08-18,user_48153,Bauman tenía razón: somos identidades líquidas. Me reinvento cada semana según lo que esté trending.,Generación Z y crisis de sentido,neutral,12194,4666
5055,2024-05-07,user_69927,Renunciamos a nuestra privacidad a cambio de conveniencia. Fue un mal trato.,IA y pérdida de autonomía humana,negativo,10384,2869
5056,2022-01-29,user_19677,Me siento más cerca de extraños en Twitter que de personas reales. Algo está mal.,Cultura de lo efímero y proyectos de vida,positivo,11637,4850
5057,2023-11-17,user_64345,La presión por mostrar una vida perfecta me aleja de mi verdadero yo.,Generación Z y crisis de sentido,neutral,4718,3021
5058,2022-12-23,user_50657,"Ya no evalúo información, solo consumo lo que el algoritmo me sirve pre-digerido.",IA y pérdida de autonomía humana,negativo,792,2639
5059,2023-03-23,user_26121,"El vacío que siento no se llena con más contenido. Paradójicamente, mientras más consumo, menos significado encuentro.",Generación Z y crisis de sentido,neutral,13566,4668
5060,2022-11-28,user_6261,Dejo de hacer cosas auténticas porque 'no se ven bien en Instagram'. Eso es triste.,Generación Z y crisis de sentido,negativo,13715,3976
5061,2023-07-29,user_30500,Construyo y destruyo mi identidad online como si fuera un juego. Pero a veces me pregunto si perdí mi esencia.,Generación Z y crisis de sentido,negativo,18302,4673
5062,2022-12-25,user_59369,Habermas tenía razón: el espacio público se erosiona. Hoy es un espacio algorítmico sin comunidad real.,Cultura de lo efímero y proyectos de vida,neutral,3704,3589
5063,2023-10-27,user_45317,¿Cómo pensar críticamente si nunca veo perspectivas que desafíen mi visión del mundo?,IA y pérdida de autonomía humana,negativo,19240,1296
5064,2024-05-21,user_52744,Han lo explicó: nos autoexplotamos pensando que es libertad. Es esclavitud disfrazada.,Cultura de lo efímero y proyectos de vida,negativo,16899,4612
5065,2023-01-31,user_77469,"Cada click, cada búsqueda, cada like es registrado. Somos perfiles permanentemente monitoreados.",IA y pérdida de autonomía humana,neutral,7718,1870
5066,2023-09-29,user_43476,"Los algoritmos optimizan para engagement, no para verdad. El resultado es una sociedad menos crítica.",IA y pérdida de autonomía humana,neutral,14583,1281
5067,2022-11-05,user_42122,La presión por mostrar una vida perfecta me aleja de mi verdadero yo.,Generación Z y crisis de sentido,neutral,9019,4084
5068,2023-08-19,user_13414,¿A quién le importa la privacidad cuando podemos tener servicios gratis? Ese es el trato faustiano digital.,IA y pérdida de autonomía humana,negativo,19028,4161
5069,2023-12-13,user_76302,El pensamiento crítico requiere exposición a ideas diferentes. Los algoritmos me dan lo contrario.,IA y pérdida de autonomía humana,negativo,9844,719
5070,2023-03-10,user_88756,"Ya no buscamos información, la recibimos. Esa pasividad mata el pensamiento crítico.",IA y pérdida de autonomía humana,neutral,16671,3326
5071,2023-06-29,user_20136,¿Elijo yo qué ver o el algoritmo decide por mí? La línea entre mi voluntad y la manipulación es borrosa.,IA y pérdida de autonomía humana,positivo,15208,2478
5072,2022-01-28,user_64764,Mi teléfono sabe más de mí que mi familia. Es el perfecto dispositivo de vigilancia voluntaria.,IA y pérdida de autonomía humana,positivo,4126,946
5073,2022-04-19,user_59629,La gratificación inmediata arruinó mi capacidad de esperar. Quiero todo ya.,Cultura de lo efímero y proyectos de vida,positivo,13357,2651
5074,2024-05-24,user_42520,"Cada click, cada búsqueda, cada like es registrado. Somos perfiles permanentemente monitoreados.",IA y pérdida de autonomía humana,neutral,10277,1257
5075,2022-03-09,user_46863,Me preocupa que mis opiniones sean solo ecos de mi burbuja algorítmica.,IA y pérdida de autonomía humana,negativo,18562,3125
5076,2022-09-07,user_27294,"Sartre decía que estamos condenados a ser libres, pero yo me siento condenado a ser productivo sin propósito.",Generación Z y crisis de sentido,neutral,11136,3023
5077,2024-05-14,user_31014,"Chateamos, no conversamos. Nos etiquetamos, no nos conocemos. Estamos solos juntos.",Cultura de lo efímero y proyectos de vida,negativo,10114,3344
5078,2023-10-01,user_90069,Bauman tenía razón: somos identidades líquidas. Me reinvento cada semana según lo que esté trending.,Generación Z y crisis de sentido,negativo,3277,1201
5079,2022-10-27,user_4649,"Los planes a futuro son obsoletos. Vivimos de trend en trend, de momento en momento.",Cultura de lo efímero y proyectos de vida,positivo,868,3775
5080,2022-04-03,user_10598,La gratificación inmediata arruinó mi capacidad de esperar. Quiero todo ya.,Cultura de lo efímero y proyectos de vida,positivo,17146,4813
5081,2024-06-08,user_22029,¿Cómo pensar críticamente si nunca veo perspectivas que desafíen mi visión del mundo?,IA y pérdida de autonomía humana,negativo,19068,2580
5082,2023-03-14,user_21722,"Nos vigilan para vendernos cosas, para predecir comportamientos, para controlarnos sutilmente.",IA y pérdida de autonomía humana,neutral,18792,2636
5083,2022-10-24,user_63084,Los algoritmos me conocen mejor que yo mismo. Predicen mis deseos antes de que los tenga.,IA y pérdida de autonomía humana,neutral,7716,811
5084,2022-08-03,user_3679,"Nos vigilan para vendernos cosas, para predecir comportamientos, para controlarnos sutilmente.",IA y pérdida de autonomía humana,negativo,17516,454
5085,2023-09-15,user_80408,Tengo 500 amigos online y me siento completamente solo. La hiperconectividad nos desconecta.,Cultura de lo efímero y proyectos de vida,negativo,12869,396
5086,2024-03-05,user_60641,La ansiedad por el futuro me roba el presente. Pero no planear también genera ansiedad. Es un círculo vicioso.,Generación Z y crisis de sentido,neutral,5384,409
5087,2023-09-19,user_19023,Renunciamos a nuestra privacidad a cambio de conveniencia. Fue un mal trato.,IA y pérdida de autonomía humana,positivo,9834,1810
5088,2024-05-05,user_93979,Byung-Chul Han describe perfectamente mi vida: autoexplotación disfrazada de autorrealización.,Cultura de lo efímero y proyectos de vida,positivo,18480,1407
5089,2024-04-07,user_24150,¿Cómo planear un futuro cuando todo cambia tan rápido que los planes son obsoletos antes de ejecutarlos?,Generación Z y crisis de sentido,negativo,17670,1063
5090,2022-09-26,user_71707,No encuentro un 'para qué' en mi día a día. Solo reproduzco rutinas que vi en TikTok.,Generación Z y crisis de sentido,positivo,12259,4228
5091,2024-06-06,user_79248,Byung-Chul Han describe perfectamente mi vida: autoexplotación disfrazada de autorrealización.,Cultura de lo efímero y proyectos de vida,positivo,13738,3896
5092,2022-07-04,user_17341,"Mi identidad cambia según la plataforma. En LinkedIn soy profesional, en Instagram creativo, en TikTok gracioso. ¿Quién soy realmente?",Generación Z y crisis de sentido,positivo,19946,4261
5093,2023-03-08,user_33777,¿Es libertad si todas mis opciones están pre-filtradas por un algoritmo?,IA y pérdida de autonomía humana,negativo,5389,1444
5094,2024-05-12,user_61863,"No sé qué estudiar, dónde trabajar, cómo vivir. La incertidumbre es abrumadora.",Generación Z y crisis de sentido,neutral,5099,2344
5095,2022-02-12,user_5960,Dejo de hacer cosas auténticas porque 'no se ven bien en Instagram'. Eso es triste.,Generación Z y crisis de sentido,positivo,14630,1933
5096,2022-09-06,user_72227,Habermas advertía sobre la erosión del espacio público racional. Los algoritmos lo consumaron.,IA y pérdida de autonomía humana,negativo,1487,1556
5097,2022-05-26,user_65242,No tengo certezas sobre quién soy. Solo tengo versiones temporales que duran hasta el siguiente trend.,Generación Z y crisis de sentido,negativo,8183,4867
5098,2022-10-04,user_52497,Las burbujas de filtro destruyen el pensamiento crítico. Solo veo lo que confirma mis creencias.,IA y pérdida de autonomía humana,neutral,6670,4394
5099,2023-02-09,user_52346,La IA diseña mi realidad. ¿Hasta qué punto soy un agente libre y hasta qué punto un sujeto programado?,IA y pérdida de autonomía humana,neutral,11120,1120
5100,2022-08-23,user_93378,La paradoja de la elección nos paraliza. Tenemos todas las opciones pero no sabemos cuál tomar.,Generación Z y crisis de sentido,neutral,10097,3537
5101,2022-11-18,user_55230,"El futuro me genera ansiedad paralizante. Demasiadas opciones, ninguna certeza.",Generación Z y crisis de sentido,neutral,9906,3088
5102,2023-03-21,user_19773,La paradoja de la elección nos paraliza. Tenemos todas las opciones pero no sabemos cuál tomar.,Generación Z y crisis de sentido,negativo,3217,4281
5103,2024-02-14,user_67747,Bauman tenía razón: somos identidades líquidas. Me reinvento cada semana según lo que esté trending.,Generación Z y crisis de sentido,positivo,16339,3720
5104,2024-02-23,user_21102,"No basta con trabajar. También debo hacer ejercicio, meditar, leer, aprender idiomas. Es agotador.",Cultura de lo efímero y proyectos de vida,neutral,8452,869
5105,2022-02-20,user_21331,Me siento más cerca de extraños en Twitter que de personas reales. Algo está mal.,Cultura de lo efímero y proyectos de vida,negativo,7369,3160
5106,2022-11-05,user_74435,"El futuro se siente apocalíptico: crisis climática, colapso económico, automatización. ¿Para qué planear?",Generación Z y crisis de sentido,neutral,18297,1427
5107,2024-01-04,user_90786,Habermas advertía sobre la erosión del espacio público racional. Los algoritmos lo consumaron.,IA y pérdida de autonomía humana,neutral,7727,1614
5108,2023-08-29,user_26527,"¿Existe algo más allá de las métricas? Mi valor parece medirse en followers, no en lo que realmente soy.",Generación Z y crisis de sentido,neutral,14777,581
5109,2023-07-01,user_48292,"El vacío que siento no se llena con más contenido. Paradójicamente, mientras más consumo, menos significado encuentro.",Generación Z y crisis de sentido,negativo,19100,4131
5110,2022-04-16,user_12227,"Bauman advertía sobre la modernidad líquida. Hoy la vivo: todo es temporal, nada es sólido, ni siquiera yo.",Generación Z y crisis de sentido,negativo,12148,995
5111,2022-12-17,user_82212,Los algoritmos me conocen mejor que yo mismo. Predicen mis deseos antes de que los tenga.,IA y pérdida de autonomía humana,positivo,1529,1067
5112,2023-05-07,user_16611,La hiperconectividad es una falsa promesa. Tenemos miles de contactos pero ninguna conexión real.,Cultura de lo efímero y proyectos de vida,neutral,653,1123
5113,2023-11-11,user_99426,"Cada click, cada búsqueda, cada like es registrado. Somos perfiles permanentemente monitoreados.",IA y pérdida de autonomía humana,neutral,10527,3483
5114,2023-04-25,user_89476,¿Para qué trabajar tanto si al final todo pierde sentido? La presión constante me agota y no veo un propósito real.,Generación Z y crisis de sentido,positivo,13350,3340
5115,2023-12-09,user_4332,La vigilancia digital no necesita guardias. El algoritmo es el nuevo panóptico.,IA y pérdida de autonomía humana,neutral,3671,2176
5116,2023-08-29,user_12190,Mi libertad de elección es una ilusión. Solo elijo dentro del menú que el algoritmo me presenta.,IA y pérdida de autonomía humana,positivo,8173,1321
5117,2023-01-02,user_34562,"A veces siento que mi vida no tiene dirección clara. Las redes sociales muestran vidas perfectas, pero yo solo siento vacío.",Generación Z y crisis de sentido,positivo,5626,3387
5118,2022-03-03,user_63029,"Nos vigilan para vendernos cosas, para predecir comportamientos, para controlarnos sutilmente.",IA y pérdida de autonomía humana,neutral,17882,1169
5119,2023-09-24,user_66927,Vivimos en el teatro digital de Erving Goffman. Todos somos actores de nuestra propia vida.,Generación Z y crisis de sentido,negativo,15751,2495
5120,2024-04-26,user_82888,"No puedo ser productivo todo el tiempo, pero la presión social me hace sentir que debo serlo.",Cultura de lo efímero y proyectos de vida,negativo,15534,3906
5121,2024-03-14,user_54612,Habermas tenía razón: el espacio público se erosiona. Hoy es un espacio algorítmico sin comunidad real.,Cultura de lo efímero y proyectos de vida,positivo,215,807
5122,2023-12-19,user_28072,Las redes sociales me obligaron a ser performativo. Actúo mi vida más que vivirla.,Generación Z y crisis de sentido,neutral,9682,3421
5123,2024-02-01,user_24322,"Los planes a futuro son obsoletos. Vivimos de trend en trend, de momento en momento.",Cultura de lo efímero y proyectos de vida,negativo,7211,3148
5124,2023-09-30,user_9888,Estoy exhausto de intentar ser productivo 24/7. El burnout es el precio de esta sociedad del rendimiento.,Cultura de lo efímero y proyectos de vida,neutral,19458,525
5125,2024-04-30,user_56942,"El vacío que siento no se llena con más contenido. Paradójicamente, mientras más consumo, menos significado encuentro.",Generación Z y crisis de sentido,negativo,4694,3747
5126,2023-05-01,user_71779,Construyo y destruyo mi identidad online como si fuera un juego. Pero a veces me pregunto si perdí mi esencia.,Generación Z y crisis de sentido,neutral,18277,1971
5127,2022-06-11,user_2017,No tengo certezas sobre quién soy. Solo tengo versiones temporales que duran hasta el siguiente trend.,Generación Z y crisis de sentido,negativo,6509,3219
5128,2022-04-02,user_4448,¿Puedo ser yo mismo en un espacio donde todo es espectáculo y métrica?,Generación Z y crisis de sentido,negativo,5145,2747
5129,2023-07-01,user_50946,"Netflix me dice qué ver, Spotify qué escuchar, Instagram qué comprar. ¿Sigo siendo autónomo?",IA y pérdida de autonomía humana,positivo,16885,1960
5130,2024-05-07,user_58312,"Los planes a futuro son obsoletos. Vivimos de trend en trend, de momento en momento.",Cultura de lo efímero y proyectos de vida,negativo,10435,754
5131,2023-07-07,user_59045,La ironía de nuestra era: nunca fue tan fácil conectar y nunca fue tan difícil sentirnos cerca.,Cultura de lo efímero y proyectos de vida,positivo,1480,1280
5132,2022-02-06,user_91366,Las burbujas de filtro me encierran en mi propia cámara de eco. Ya no veo perspectivas diferentes.,IA y pérdida de autonomía humana,neutral,65,3612
5133,2024-02-24,user_6749,Las redes sociales prometen conexión pero entregan soledad algorítmica.,Cultura de lo efímero y proyectos de vida,positivo,15244,2961
5134,2023-01-26,user_20045,La sensación de que nada tiene sentido permanente es constante. ¿Qué queda cuando las likes desaparecen?,Generación Z y crisis de sentido,neutral,5124,713
5135,2023-06-26,user_35370,"El futuro se siente apocalíptico: crisis climática, colapso económico, automatización. ¿Para qué planear?",Generación Z y crisis de sentido,neutral,1350,4319
5136,2022-05-03,user_88130,¿Cómo planear un futuro cuando todo cambia tan rápido que los planes son obsoletos antes de ejecutarlos?,Generación Z y crisis de sentido,positivo,4514,1078
5137,2022-09-30,user_18634,"No sé qué estudiar, dónde trabajar, cómo vivir. La incertidumbre es abrumadora.",Generación Z y crisis de sentido,negativo,6504,2871
5138,2022-02-09,user_29340,La gratificación inmediata arruinó mi capacidad de esperar. Quiero todo ya.,Cultura de lo efímero y proyectos de vida,neutral,4208,2018
5139,2023-01-03,user_3015,Me siento más cerca de extraños en Twitter que de personas reales. Algo está mal.,Cultura de lo efímero y proyectos de vida,negativo,5331,1925
5140,2023-08-31,user_12567,Renunciamos a nuestra privacidad a cambio de conveniencia. Fue un mal trato.,IA y pérdida de autonomía humana,neutral,3445,3728
5141,2023-09-15,user_4360,La paradoja de la elección nos paraliza. Tenemos todas las opciones pero no sabemos cuál tomar.,Generación Z y crisis de sentido,neutral,19841,725
5142,2023-11-02,user_29130,Habermas tenía razón: el espacio público se erosiona. Hoy es un espacio algorítmico sin comunidad real.,Cultura de lo efímero y proyectos de vida,positivo,5735,3041
5143,2022-09-15,user_99301,Aceptamos términos y condiciones sin leer. Firmamos nuestra propia vigilancia masiva.,IA y pérdida de autonomía humana,neutral,11567,1579
5144,2022-12-18,user_63008,TikTok me entrenó para consumir contenido en ráfagas de 15 segundos. Ya no puedo leer libros.,Cultura de lo efímero y proyectos de vida,neutral,13343,3612
5145,2022-04-17,user_39094,Construyo y destruyo mi identidad online como si fuera un juego. Pero a veces me pregunto si perdí mi esencia.,Generación Z y crisis de sentido,positivo,16529,691
5146,2022-05-18,user_42469,"No sé qué estudiar, dónde trabajar, cómo vivir. La incertidumbre es abrumadora.",Generación Z y crisis de sentido,negativo,7680,4193
5147,2023-03-04,user_61218,"El vacío que siento no se llena con más contenido. Paradójicamente, mientras más consumo, menos significado encuentro.",Generación Z y crisis de sentido,positivo,10588,2348
5148,2023-08-06,user_66785,"La cultura del rendimiento me está quemando. No puedo parar de producir, optimizar, mejorar.",Cultura de lo efímero y proyectos de vida,positivo,814,1145
5149,2022-11-07,user_23389,La soledad digital es única: estás rodeado de gente pero completamente aislado.,Cultura de lo efímero y proyectos de vida,negativo,7543,4603
5150,2024-02-02,user_66589,¿A quién le importa la privacidad cuando podemos tener servicios gratis? Ese es el trato faustiano digital.,IA y pérdida de autonomía humana,negativo,13201,2990
5151,2023-04-21,user_79044,La sensación de que nada tiene sentido permanente es constante. ¿Qué queda cuando las likes desaparecen?,Generación Z y crisis de sentido,neutral,5490,1470
5152,2023-06-28,user_33346,¿Cómo pensar críticamente si nunca veo perspectivas que desafíen mi visión del mundo?,IA y pérdida de autonomía humana,neutral,7817,862
5153,2023-10-05,user_57168,"El burnout juvenil es una crisis silenciosa. Todos actuamos como si estuviéramos bien, pero estamos rotos.",Cultura de lo efímero y proyectos de vida,positivo,10544,1123
5154,2023-05-26,user_56235,"La privacidad es un concepto del pasado. Ahora todo es datos, perfiles, predicciones.",IA y pérdida de autonomía humana,negativo,3700,332
5155,2024-04-04,user_66796,Los algoritmos me conocen mejor que yo mismo. Predicen mis deseos antes de que los tenga.,IA y pérdida de autonomía humana,negativo,3336,4693
5156,2023-03-09,user_22743,TikTok me entrenó para consumir contenido en ráfagas de 15 segundos. Ya no puedo leer libros.,Cultura de lo efímero y proyectos de vida,neutral,6907,1702
5157,2023-08-23,user_46689,La paciencia es un lujo que nuestra generación no puede permitirse en la era de lo instantáneo.,Cultura de lo efímero y proyectos de vida,neutral,13256,2865
5158,2023-06-14,user_12162,"El futuro se siente apocalíptico: crisis climática, colapso económico, automatización. ¿Para qué planear?",Generación Z y crisis de sentido,negativo,13163,233
5159,2023-03-03,user_17913,"No sé qué estudiar, dónde trabajar, cómo vivir. La incertidumbre es abrumadora.",Generación Z y crisis de sentido,negativo,13581,1761
5160,2023-09-17,user_84126,El hustle culture me vendió el éxito. Lo que obtuve fue ansiedad y agotamiento crónico.,Cultura de lo efímero y proyectos de vida,negativo,15745,1501
5161,2022-05-25,user_38418,"La privacidad es un concepto del pasado. Ahora todo es datos, perfiles, predicciones.",IA y pérdida de autonomía humana,positivo,1449,1250
5162,2022-08-15,user_7633,"Foucault hablaría de biopoder algorítmico. Nos vigilan, analizan y dirigen sin que lo notemos.",IA y pérdida de autonomía humana,neutral,4352,3404
5163,2023-05-16,user_36438,La sociedad del cansancio es real. Me siento culpable cuando descanso.,Cultura de lo efímero y proyectos de vida,neutral,7378,599
5164,2023-12-05,user_38644,¿Cómo planear un futuro cuando todo cambia tan rápido que los planes son obsoletos antes de ejecutarlos?,Generación Z y crisis de sentido,neutral,9678,3614
5165,2022-03-31,user_44733,La sociedad del cansancio es real. Me siento culpable cuando descanso.,Cultura de lo efímero y proyectos de vida,negativo,13755,1059
5166,2023-12-26,user_75088,¿Es libertad si todas mis opciones están pre-filtradas por un algoritmo?,IA y pérdida de autonomía humana,negativo,16676,3963
5167,2023-10-04,user_16538,La gratificación inmediata arruinó mi capacidad de esperar. Quiero todo ya.,Cultura de lo efímero y proyectos de vida,negativo,14841,3135
5168,2023-02-19,user_44897,No tengo certezas sobre quién soy. Solo tengo versiones temporales que duran hasta el siguiente trend.,Generación Z y crisis de sentido,positivo,16015,4384
5169,2022-11-13,user_91893,"Cada click, cada búsqueda, cada like es registrado. Somos perfiles permanentemente monitoreados.",IA y pérdida de autonomía humana,positivo,18529,3120
5170,2022-04-21,user_12571,Tengo 500 amigos online y me siento completamente solo. La hiperconectividad nos desconecta.,Cultura de lo efímero y proyectos de vida,neutral,9459,1937
5171,2023-11-27,user_23722,"Mi identidad cambia según la plataforma. En LinkedIn soy profesional, en Instagram creativo, en TikTok gracioso. ¿Quién soy realmente?",Generación Z y crisis de sentido,positivo,7258,147
5172,2023-06-25,user_70720,Mi teléfono sabe más de mí que mi familia. Es el perfecto dispositivo de vigilancia voluntaria.,IA y pérdida de autonomía humana,neutral,13132,3356
